id,name,nationality,birthplace,birthday,height,weight,team_id,position
1,乔尔吉尼奥·维纳尔杜姆,荷兰（苏里南）双重国籍,鹿特丹,1990年11月11日,175cm,69kg,1,中前卫
2,J·马蒂普,喀麦隆（德国）双重国籍,波鸿,1991年8月8日,193cm,89kg,1,中后卫
3,丹尼尔·克利里,爱尔兰,都柏林,1996年3月9日,182cm,不详,1,中后卫
7,丹尼尔·斯图里奇,英格兰,英格兰,1989年9月1日,188cm,76kg,1,前锋
8,乔·戈麦斯,英格兰,英格兰,1997年5月23日,188cm,78kg,1,中后卫
10,乔丹·威廉姆斯,威尔士,班戈,1995年11月6日,187cm,77kg,1,后腰
13,乔尔·马蒂普,喀麦隆（德国）双重国籍,波鸿,1991年8月8日,193cm,89kg,1,中后卫
15,乔尔吉尼奥·维纳尔杜姆,荷兰,荷兰,1990年11月11日,175cm,69kg,1,中场
17,乔恩·弗拉纳根,英格兰,利物浦,1993年1月1日,181cm,79kg,1,右后卫
18,亚历克斯·奥克斯拉德-张伯伦,英格兰,英格兰,1993年8月15日,180cm,70kg,1,中场
19,亚历山大·曼宁格,奥地利,萨尔斯堡,1977年6月4日,189cm,83kg,1,门将
20,亚当·博格丹,匈牙利,布达佩斯,1987年9月27日,193cm,82kg,1,门将
21,亚当·拉拉纳,英格兰,圣奥尔本斯,1988年5月10日,176cm,73kg,1,中前卫
22,亚当·菲利普斯,英格兰,加斯坦,1998年1月15日,不详,不详,1,中前卫
23,凯恩·刘易斯,英格兰,伦敦,1998年3月17日,不详,不详,1,右后卫
24,利亚姆·格里芬,英格兰,奥姆斯克,1998年1月14日,不详,不详,1,中场
26,劳埃德·琼斯,英格兰（威尔士）双重国籍,普利茅斯,1995年10月7日,191cm,77kg,1,中后卫
28,卡尔·克莱尔,英格兰,利物浦,1992年9月20日,176cm,67kg,1,中前卫
29,洛里斯·卡柳斯,德国,比伯拉赫,1993年6月22日,189cm,75kg,1,门将
31,史蒂夫·斯汤顿,爱尔兰,德罗赫达,1969年1月19日,187cm,83kg,1,左后卫
33,史蒂夫·麦克马洪,英格兰,利物浦,1961年8月20日,176cm,74kg,1,后腰
34,哈里·威尔逊,威尔士（英格兰）双重国籍,雷克瑟姆,1997年3月22日,173cm,70kg,1,右边锋
37,哲科·布瓦奇,波黑（塞尔维亚）双重国籍,巴尼亚卢卡,1961年9月13日,192cm,82kg,1,中前卫
38,塔伊沃·米歇尔·阿沃尼伊,尼日利亚,伊洛林,1997年8月12日,178cm,71kg,1,前锋
39,塔伊沃·阿沃尼伊,尼日利亚,伊洛林,1997年8月12日,178cm,71kg,1,前锋
40,夏马尔·乔治,英格兰,默西塞德-威勒尔,1998年1月6日,不详,不详,1,门将
41,FromKB多米尼克·索兰克,英格兰（尼日利亚）双重国籍,贝辛斯托克,1997年9月14日,186cm,75kg,1,前锋
42,大卫·罗伯茨,英格兰,利物浦,1997年2月7日,不详,不详,1,左后卫
44,安德烈·维斯当,英格兰,Leeds,1993-05-09,1.86 CM,78KG,1,后卫
45,布拉德·史密斯,澳大利亚/英格兰,彭里斯/澳大利亚,1994年4月9日,178厘米,70公斤,1,左后卫
46,布拉德利·加顿,英格兰,南港,1997年9月6日,不详,不详,1,中前卫
48,哲科·布瓦奇,波黑（塞尔维亚）双重国籍,巴尼亚卢卡,1961年9月13日,192cm,82kg,1,中前卫
49,布鲁斯·格罗贝拉,FromKB 津巴布韦,德班（南非）,1957年10月6日,185cm,83kg,1,门将
50,康纳·马斯特森,爱尔兰,都柏林,1998年9月8日,185cm,75kg,1,中后卫
51,乔恩·弗拉纳根,英格兰,利物浦,1993年1月1日,181cm,79kg,1,右后卫
52,德扬·洛夫伦,克罗地亚,泽尼察,1989年7月5日,188cm,84kg,1,中后卫
53,扬·丹达,英格兰（印度）双重国籍,伯明翰,1998年12月14日,不详,不详,1,右边锋
54,扬·莫尔比,丹麦,科灵,1963年7月4日,185cm,92kg,1,中前卫
55,拉斐尔·卡马乔,葡萄牙（安哥拉）双重国籍,里斯本,2000年5月22日,175cm,不详,1,中前卫
56,丹尼·沃德,威尔士,雷克瑟姆,1993年6月22日,191cm,88kg,2,门将
58,乔纳森·埃文斯,北爱尔兰,贝尔法斯特,1988年1月3日,189cm,89kg,2,中后卫
59,南帕利斯·门迪,法国（塞内加尔）双重国籍,滨海拉塞纳,1992年6月23日,169cm,68kg,2,后腰
60,哈里·马奎尔,英格兰,谢菲尔德,1993年3月5日,194cm,100kg,2,中后卫
61,拉希德·加扎尔,阿尔及利亚（法国）双重国籍,德西尼斯,1992年5月9日,182cm,65kg,2,右边锋
62,纳姆帕利斯·门迪,法国（塞内加尔）双重国籍,滨海拉塞纳,1992年6月23日,169cm,68kg,2,后腰
63,莱昂纳多·乌略亚,阿根廷,阿根廷里奥·内格罗,1986年07月26日,185厘米,75千克,2,前锋
64,亚历山大·拉卡泽特,法国（瓜德罗普岛）双重国籍,里昂,1991年5月28日,175cm,73kg,4,前锋
65,大卫·奥斯皮纳,哥伦比亚,麦德林,1988年8月31日,FromKB 183cm,80kg,4,门将
66,丹尼·维尔贝克,英格兰/加纳,朗塞特,1990年11月26日,185cm,73kg,4,前锋
68,乔恩·托拉尔,西班牙,西班牙,1995-02-05,167.0 CM,65.0 KG,4,后卫
69,亚历山大·拉卡泽特,法国,里昂,1991年5月28日,175cm,73kg,4,前锋
70,佩尔·默特萨克,德国,汉诺威,1984年9月29日,198cm,90kg,4,中后卫
71,加文·霍伊特,特立尼达和多巴哥,London,1990-06-06,178CM,70KG,4,后卫
72,劳伦特·科斯切尔尼,法国,蒂勒,1985年09月10日,186cm,76kg,4,中后卫
73,圣迪亚戈·卡索拉,西班牙,阿斯图里亚斯,1984年12月13日,168cm,66kg,4,中场
75,埃克托·贝莱林,西班牙,巴塞罗那,1995年3月19日,178cm,74kg,4,右后卫
76,塞亚德·科拉希纳茨,波黑,卡尔斯鲁厄（Karlsruhe）,1993年6月20日,180cm,80kg,4,左后卫/左边翼卫
77,奈杰尔·温特伯恩,英格兰,纳尼顿,1963-12-11,174cm,72kg,4,左后卫
78,康纳·亨德森,爱尔兰,London,1991-09-18,185cm,75kg,4,中场
81,彼得·切赫,捷克,捷克比尔森,1982年5月20日,196cm,92kg,4,门将
82,斯蒂凡·利希施泰纳,瑞士,阿德根斯维尔,1984年1月16日,182cm,76kg,4,后卫
83,施科德兰·穆斯塔菲,德国,巴德赫斯菲尔德,1992年4月17日,184cm,FromKB 73Kg,4,后卫
84,格拉尼特·扎卡,瑞士,巴塞尔,1992年9月27日,185cm,82kg,4,后腰
86,梅苏特·厄齐尔,德国,盖尔森基兴,1988年10月15日,181cm,75kg,4,前腰
87,穆罕默德·埃尔内尼,埃及,大迈哈莱,1992年7月11日,180cm,71kg,4,后腰
88,简金森,英格兰,哈洛（英格兰）,1992-02-08,185厘米,77公斤,4,后卫
89,索克拉蒂斯·帕帕斯塔索普洛斯,希腊,卡拉马塔,1988年6月9日,186cm,82kg,4,中后卫
90,纳乔·蒙雷亚尔,西班牙,潘普洛纳,1986年2月26日,179cm,72kg,4,左后卫
92,蒙里亚尔,西班牙,西班牙,1986-02-26,178cm,72kg,4,后卫
93,达米安·马丁内斯,阿根廷,马德普拉塔,1992年9月2日,FromKB 193cm,85kg,4,门将
94,阿隆·拉姆齐,威尔士,卡尔菲利,1990年12月26日,182cm,76kg,4,中场
97,凯文·弗利,爱尔兰,卢顿,1984-11-01,180.0  CM,70.0  KG,5,后卫
98,奥尼安格,刚果（法国）双重国籍,巴黎,1988年11月4日,188cm,79kg,dirty_data,后腰
99,普林斯·奥尼亚戈,刚果（法国）双重国籍,巴黎,1988年11月4日,188cm,79kg,5,后腰
101,贾贝尔,沙特阿拉伯,利雅得（沙特阿拉伯）,FromKB 1972-12-11,172厘米,71公斤,5,前锋
102,安东尼·马夏尔,法国（瓜德罗普岛）双重国籍,马西,1995年12月5日,184cm,76kg,6,左边锋
103,保罗·博格巴,法国（几内亚）双重国籍,巴黎拉尼叙尔马恩,1993年3月15日,191cm,84kg,6,中前卫
106,内马尼亚·马蒂奇,塞尔维亚,马切万州沙巴茨,1988年8月1日,194cm,82kg,6,中场
107,吉列尔莫·瓦雷拉·奥利维拉,乌拉圭,蒙得维的亚,1993-03-24,dirty_data,69千克,6,后卫
109,塞尔吉奥·罗梅罗,阿根廷,Bernardo de Irigoyen,1987年2月22日,1.92米,87公斤,6,守门员
110,安东尼·马夏尔,法国,马西,1995年12月5日,184cm,76kg,6,前锋
112,安东尼奥·瓦伦西亚,厄瓜多尔,苏昆比奥斯省新洛哈,1985年8月4日,181cm,78kg,6,右边后卫/右边锋/右边前卫
113,安德尔·埃雷拉,西班牙,毕尔巴鄂,1989年8月14日,181cm,70kg,6,中场
115,布莱恩·罗布森,英国,达勒姆郡,1957年1月11日,180 cm,73kg,6,中场
116,弗雷德,巴西,贝洛奥里藏特,1993年3月5日,169cm,72kg,6,中前卫
117,胡安·马塔,西班牙,布尔戈斯,1988年4月28日,170cm,63kg,6,边锋
119,詹姆斯·威尔逊,英格兰,英格兰斯塔福德郡比达尔夫,1995年12月1日,180cm(5英尺11英寸),73kg,6,前锋
120,FromKB迈克尔·卡里克,英国,沃尔森德,1981年7月28日,188cm,75Kg,6,中场
121,迪奥戈·达洛特,葡萄牙,布拉加,1999年3月18日,183cm,76kg,6,右后卫
123,阿莱克西斯·桑切斯,智利,托科皮亚,1988年12月19日,168cm,71kg,6,前锋
124,A·佩雷斯,西班牙,圣克鲁斯-特内里费,1993年7月29日,178cm,66kg,7,前锋
125,A·拉扎尔,摩洛哥（意大利）双重国籍,卡萨布兰卡,1992年1月22日,184cm,76kg,7,左后卫
126,乔恩乔·谢尔维,英格兰,罗姆福德,1992年2月27日,184cm,70kg,7,中前卫
127,乔琼·谢尔维,英格兰,罗姆福德,1992年2月27日,184cm,70kg,7,中前卫
128,罗兰多·亚伦斯,英格兰（牙买加）双重国籍,金斯敦,1995年11月16日,175cm,67kg,7,左边锋
129,亚当·阿姆斯特朗,英格兰,西丹顿,1997年2月10日,173cm,69kg,7,前锋
131,伊萨克·海登,英格兰,切姆斯福德,1995年3月22日,187cm,78kg,7,中前卫
132,弗雷迪·伍德曼,英格兰,伦敦,1997年3月4日,189cm,69kg,7,门将
133,保罗·伍尔斯顿,英格兰,北希尔兹,1998年8月14日,180cm,64kg,7,门将
134,保罗·杜梅特,威尔士（英格兰）双重国籍,泰恩河畔纽卡斯尔,1991年9月26日,183cm,77kg,7,左后卫
136,克里斯蒂安·阿特苏,加纳,艾达福阿,1992年1月10日,172cm,68kg,7,右边锋
138,克里斯蒂安·阿特苏·特乌萨姆,加纳,艾达福哈,1992年1月10日,172cm,68kg,7,右边锋
139,赫苏斯·加马斯,西班牙,丰希罗拉,1985年4月10日,182cm,70kg,7,右后卫
140,FromKB弗洛里安·勒热纳,法国,巴黎-伊斯特尔,1991年5月20日,190cm,81kg,7,中后卫
143,卡尔·达尔洛,英格兰（威尔士）双重国籍,北安普顿,1990年10月8日,185cm,79kg,7,门将
146,罗布·埃利奥特,爱尔兰（英格兰）双重国籍,格林尼治,1986年4月30日,190cm,90kg,7,门将
147,昌切尔·姆贝姆巴,刚果民主共和国,金沙萨,1994年8月8日,182cm,80kg,7,中后卫
149,弗洛里安·勒热纳,法国,巴黎-伊斯特尔,1991年5月20日,190cm,81kg,7,中后卫
150,弗雷迪·伍德曼,英格兰,伦敦,1997年3月4日,FromKB 189cm,69kg,7,门将
151,彼得·洛文克兰斯,丹麦,丹麦赫斯霍尔姆,1980-01-29,181.0  CM,75.0  KG,7,前锋
152,德安德烈·叶德林,美国（拉脱维亚）双重国籍,华盛顿州西雅图,1993年7月9日,173cm,73kg,7,右后卫
156,德怀特·盖尔,英格兰（牙买加）双重国籍,伦敦,1990年10月20日,177cm,73kg,7,前锋
158,贾马尔·拉塞尔斯,英格兰,德比郡,1993年11月11日,189cm,83kg,7,中后卫
159,阿赤哈弗·拉扎尔,摩洛哥（意大利）双重国籍,卡萨布兰卡,1992年1月22日,184cm,76kg,7,左后卫
160,贾马尔·拉舍莱斯,英格兰,德比郡,1993年11月11日,189cm,83kg,7,中后卫
161,昌切尔·姆本巴,刚果民主共和国,金沙萨,1994年8月8日,182cm,80kg,7,中后卫
165,保罗·杜梅特,威尔士（英格兰）双重国籍,泰恩河畔纽卡斯尔,1991年9月26日,183cm,77kg,7,左后卫
166,杰克·科尔巴克,英格兰,纽卡斯尔-基灵沃思,1989年10月24日,177cm,72kg,7,中前卫
167,柯蒂斯·古德,FromKB 澳大利亚（英格兰）双重国籍,墨尔本,1993年3月23日,187cm,85kg,7,中后卫
168,米克尔·梅里诺,西班牙,潘普洛纳,1996年6月22日,188cm,78kg,7,中前卫
169,武农·阿尼塔,荷兰,威廉斯塔德,1989-04-04,167厘米,63公斤,7,前卫
170,艾萨克·海登,英格兰,切姆斯福德,1995年3月22日,187cm,78kg,7,中前卫
171,马萨迪奥·海达拉,法国（塞内加尔）双重国籍,特拉珀斯,1992年12月2日,179cm,75kg,7,左后卫
172,FromKB 英格兰,英格兰,罗姆福德,1992年2月27日,184cm,70kg,7,中前卫
173,杰克·科尔巴克,英格兰,纽卡斯尔-基灵沃思,1989年10月24日,177cm,72kg,7,中前卫
174,穆罕穆德·迪亚梅,塞内加尔（法国）双重国籍,克里特尔,1987年6月14日,181cm,80kg,dirty_data,后腰
177,约乔·谢尔维,英格兰,罗姆福德,1992年2月27日,184cm,70kg,7,中前卫
178,约尼奥·谢尔威,英格兰,罗姆福德,1992年2月27日,184cm,70kg,7,中前卫
179,若日尼奥,意大利（巴西）双重国籍,因比图巴,1991年12月20日,180cm,65kg,8,后腰
180,库尔特·祖马,法国（中非）双重国籍,里昂,1994年10月27日,190cm,96kg,8,中后卫
181,刘易斯·贝克,英格兰（牙买加）双重国籍,卢顿,1995年4月25日,182cm,70kg,8,中前卫
182,奥利维尔·吉鲁,法国,尚贝里,1986年9月30日,192cm,88kg,8,中锋
183,蒂莫埃·巴卡约科,法国（科特迪瓦）双重国籍,巴黎,1994年8月17日,189cm,77kg,8,后腰
184,阿扎尔,比利时,比利时拉卢维耶尔,1991年1月7日,1.72米（5英尺8英寸）,69公斤,8,攻击型中场/边锋/前腰
185,伊赛亚·布朗,英格兰（牙买加）双重国籍,彼得伯勒,1997年1月7日,182cm,70kg,8,前锋
187,何塞·达·席尔瓦·博辛瓦,葡萄牙,民主刚果金沙萨,1982年08月24日,180厘米,75公斤,8,后卫
188,凯帕·阿里萨巴拉加,西班牙,Ondarroa,1994年10月3日,186厘米（切尔西官网数据）,85kg（切尔西官网数据）,8,门将
190,凯西·帕尔梅,英格兰,伦敦,1996年11月9日,175cm,68kg,8,前腰
192,刘易斯·贝克,英格兰（牙买加）双重国籍,卢顿,1995年4月25日,182cm,70kg,8,中前卫
193,卡勒姆·哈德森-奥多伊,英格兰（加纳）双重国籍,伦敦,2000年11月7日,1.77 m,74.5 kg,8,中前卫
195,塞萨尔·阿兹皮利奎塔,西班牙,潘普洛纳,1989年8月28日,178厘米,76kg,8,边后卫
196,奥利维尔·吉鲁,法国,尚贝里,1986年9月30日,1.93 m,92 kg,8,前锋
197,威利·卡巴莱罗,阿根廷（西班牙）双重国籍,孔斯蒂图西翁镇,1981年9月28日,186cm,83kg,8,门将
198,威廉·博格斯·达·席尔瓦,巴西,里贝朗普雷图（巴西）,1988年8月9日,175cm,dirty_data,8,右边锋
199,布莱克曼,英格兰（牙买加）双重国籍,伦敦,FromKB 1993年10月27日,199cm,79kg,8,门将
200,凯西·帕尔梅,英格兰,伦敦,1996年11月9日,175cm,68kg,8,前腰
201,库尔特·祖玛,法国（中非）双重国籍,里昂,1994年10月27日,190cm,96kg,8,中后卫
202,恩戈洛·坎特,法国/马里,巴黎,1991年3月29日,168cm,68kg,8,中场
