0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, 国籍, 出生地, 出生日期, 身高, 体重,1_1_1, 场上位置,, 所属运动队,,,,,,,,,,,,,,,,,,,,,,
, 国籍,,2_1_1,,,,,,, 所属地区,,,,,,,,,,,,,,,,,,,,,,
, 出生地,2_1_1,,,,,,,,,,is,,,,,,,,,,,,,,,,,,,,
, 出生日期,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, 身高,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, 体重,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1_1_1,,,,,,,,is,,,,,,,,,,,,,,,,,,,,,,,
, 场上位置,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,is,,,link,,,,,,,,,,,,,,,,,,,,,,
, 所属运动队, 所属地区,,,,,,,link,,1_2_1, 所属地区, 成立时间,1_4_1, 现任主教练,, 角逐赛事,,,,,,,,,,,, 主场馆,,,
,,,,,,,,,,1_2_1,,,,,,is,,,,,,,,,,,,,,,,
,,,is,,,,,,, 所属地区,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,, 成立时间,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1_4_1,,,,,,,,,,,,,,,,,,is,,,,
,,,,,,,,,, 现任主教练,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,is,,,,,,link,,,,,,,,,,,,,,,
,,,,,,,,,, 角逐赛事,,,,,,link,,1_3_1, 成立年份, 球队数目, 所属协会,, 国家,,,,,,,,,
,,,,,,,,,,,,,,,,,1_3_1,,,,,is,,,,,,,,,,
,,,,,,,,,,,,,,,,, 成立年份,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, 球队数目,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, 所属协会,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,is,,,,,link,,,,,,,,,
,,,,,,,,,,,,,,,,, 国家,,,,,link,, 国家代码, 首都, 官方语言, 货币,,,,,
,,,,,,,,,,,,,,,,,,,,,,, 国家代码,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,, 首都,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,, 官方语言,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,, 货币,,,,,,,,,
,,,,,,,,,,,,,,is,,,,,,,,,,,,,,,link,,,
,,,,,,,,,, 主场馆,,,,,,,,,,,,,,,,,,link,, 地区,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 地区,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
