id,name,code,capital,language,currency
1,德国[德意志联邦共和国],DEU,柏林,德语,欧元
2,英国[大不列颠及北爱尔兰联合王国],GBR,伦敦,英语,英镑
3,西班牙[西班牙王国],ESP,马德里,西班牙语（卡斯蒂利亚语）,欧元
4,中华人民共和国[中华人民共和国],CHN,北京,汉语（通用普通话）,澳门币
5,美国[美利坚合众国],USA,华盛顿,英语,美元
6,韩国[大韩民国],KOR,首尔,韩语,韩元
7,日本[日本国],JPN,东京,日语,日元
8,瑞典,SWE,斯德哥尔摩,瑞典语,瑞典克朗
9,葡萄牙,PRT,里斯本,葡萄牙语,欧元
10,法国[法兰西共和国],FRA,巴黎,法语,欧元
11,加拿大[北美洲国家],CAN,渥太华,英语,加拿大元
12,意大利[意大利共和国],ITA,罗马,意大利语,欧元
13,冰岛[冰岛共和国],ISL,雷克雅未克,冰岛语,冰岛克朗
14,俄罗斯[俄罗斯联邦],RUS,莫斯科,俄语,俄罗斯卢布
15,智利,CHL,圣地亚哥,西班牙语,智利比索
16,阿根廷[阿根廷共和国],ARG,布宜诺斯艾利斯,西班牙语,阿根廷比索
17,加纳[非洲西部国家],GHA,阿克拉,英语,加纳赛地
18,荷兰[荷兰尼德兰简称],NLD,阿姆斯特丹,荷兰语,欧元
