n1, rela, n2
意大利足球甲级联赛, 中文名称, 意大利足球甲级联赛
意大利足球甲级联赛, 英文名称, Serie A
意大利足球甲级联赛, 赛事类型, 联赛
意大利足球甲级联赛, 主办机构, 意甲联盟
意大利足球甲级联赛, 国家, 意大利
意大利足球甲级联赛, 所属协会, UEFA
意大利足球甲级联赛, 成立年份, 1898年
意大利足球甲级联赛, 成立年份, 1929年（循环赛）
意大利足球甲级联赛, 球队数目, 20队
意大利足球甲级联赛, 联赛系统, 第一级
意大利足球甲级联赛, 降级至, 意大利足球乙级联赛
意大利足球甲级联赛, 本土杯赛, 意大利杯
意大利足球甲级联赛, 本土杯赛, 意大利超级杯
意大利足球甲级联赛, 国际联赛, 欧洲冠军联赛
意大利足球甲级联赛, 国际联赛, 欧洲联赛
意大利足球甲级联赛, 应届冠军, 尤文图斯足球俱乐部（2017-18）
意大利足球甲级联赛, 最成功球队, 尤文图斯足球俱乐部（34次）
意大利足球甲级联赛, 开赛时间, 四月到八月
意大利足球甲级联赛, tag, 足球比赛
意大利足球甲级联赛, tag, 足球
意大利足球甲级联赛, tag, 体育赛事
意大利足球甲级联赛, tag, 体育组织
意大利足球甲级联赛, tag, 体育
德国[德意志联邦共和国], 中文名称, 德意志联邦共和国
德国[德意志联邦共和国], 英文名称, The Federal Republic of Germany
德国[德意志联邦共和国], 简称, 德国
德国[德意志联邦共和国], 简称, 德意志
德国[德意志联邦共和国], 所属洲, 欧洲
德国[德意志联邦共和国], 首都, 柏林
德国[德意志联邦共和国], 主要城市, 汉堡
德国[德意志联邦共和国], 主要城市, 慕尼黑
德国[德意志联邦共和国], 主要城市, 科隆
德国[德意志联邦共和国], 主要城市, 法兰克福
德国[德意志联邦共和国], 主要城市, 斯图加特
德国[德意志联邦共和国], 主要城市, 多特蒙德
德国[德意志联邦共和国], 主要城市, 波恩
德国[德意志联邦共和国], 国庆日, 1990年10月3日
德国[德意志联邦共和国], 国歌, 德意志之歌
德国[德意志联邦共和国], 国家代码, DEU
德国[德意志联邦共和国], 官方语言, 德语
德国[德意志联邦共和国], 货币, 欧元
德国[德意志联邦共和国], 时区, UTC+1（夏时制：UTC+2）
德国[德意志联邦共和国], 政治体制, 议会制共和制
德国[德意志联邦共和国], 国家领袖, 总统：弗兰克·瓦尔特·施泰因迈尔
德国[德意志联邦共和国], 国家领袖, 总理：安格拉·默克尔
德国[德意志联邦共和国], 人口数量," 82,695,000（2017年）"
德国[德意志联邦共和国], 人口密度, 237人/平方公里（2017年）
德国[德意志联邦共和国], 主要民族, 德意志人
德国[德意志联邦共和国], 主要民族, 索布人
德国[德意志联邦共和国], 主要宗教, 基督新教
德国[德意志联邦共和国], 主要宗教, 天主教
德国[德意志联邦共和国], 国土面积, 357376平方公里
德国[德意志联邦共和国], 水域率, 2.416%
德国[德意志联邦共和国], GDP总计, 3.677万亿美元（2017年
德国[德意志联邦共和国], GDP总计, 国际汇率）
德国[德意志联邦共和国], 人均GDP, 44470美元（2017年
德国[德意志联邦共和国], 人均GDP, 国际汇率）
德国[德意志联邦共和国], 国际电话区号, +49
德国[德意志联邦共和国], 国际域名缩写, .de
德国[德意志联邦共和国], 道路通行, 靠右驾驶
德国[德意志联邦共和国], 国家结构, 复合制
德国[德意志联邦共和国], 行政区划, 16个州
德国[德意志联邦共和国], 最大城市, 柏林
德国[德意志联邦共和国], 最大行政区, 巴伐利亚州（亦称拜仁州）
德国[德意志联邦共和国], 地理最高点, 阿尔卑斯山脉楚格峰
德国[德意志联邦共和国], 中央银行, 德意志联邦银行
德国[德意志联邦共和国], 人类发展指数, 0.931（世界第6
德国[德意志联邦共和国], 人类发展指数, 极高
德国[德意志联邦共和国], 人类发展指数, 2014年）
德国[德意志联邦共和国], 汽车品牌, 保时捷
德国[德意志联邦共和国], 汽车品牌, 奔驰
德国[德意志联邦共和国], 汽车品牌, 宝马
德国[德意志联邦共和国], 汽车品牌, 奥迪
德国[德意志联邦共和国], 汽车品牌, 大众
德国[德意志联邦共和国], 著名赛道, 纽博格林赛道
德国[德意志联邦共和国], 著名汽车赛事, 德国房车大师赛（DTM）
德国[德意志联邦共和国], 主要高等学府, 柏林大学
德国[德意志联邦共和国], 主要高等学府, 波恩大学
德国[德意志联邦共和国], 主要高等学府, 哥廷根大学
德国[德意志联邦共和国], 国鸟, 白鹳
德国[德意志联邦共和国], 官网, https://www.bundesregierung.de
德国[德意志联邦共和国], 著名企业, 戴姆勒-克莱斯勒
德国[德意志联邦共和国], 著名企业, 西门子
德国[德意志联邦共和国], 国家象征, 勃兰登堡门
德国[德意志联邦共和国], 国家象征, 莱茵河
德国[德意志联邦共和国], 国家象征, 新天鹅堡
德国[德意志联邦共和国], tag, 二战
德国[德意志联邦共和国], tag, 国家
德国[德意志联邦共和国], tag, 二战参战国家
多特蒙德足球俱乐部, 中文队名, 多特蒙德足球俱乐部
多特蒙德足球俱乐部, 外文队名, Borussia Dortmund
多特蒙德足球俱乐部, 运动项目, 足球
多特蒙德足球俱乐部, 角逐赛事, 德国足球甲级联赛
多特蒙德足球俱乐部, 所属地区, 德国北威州多特蒙德市
多特蒙德足球俱乐部, 成立时间, 1909年12月19日
多特蒙德足球俱乐部, 主场馆, 伊杜纳信号公园
多特蒙德足球俱乐部, 容纳人数, 80552人
多特蒙德足球俱乐部, 拥有者, 劳巴尔
多特蒙德足球俱乐部, 拥有者, 瓦茨克
多特蒙德足球俱乐部, 现任主教练, 法夫尔
多特蒙德足球俱乐部, 知名人物, 萨默尔;安德雷斯·穆勒;哈斯勒;莱曼;里肯;凯尔;扬·科勒;罗西基
多特蒙德足球俱乐部, 主要荣誉, 德国顶级足球联赛冠军8次
多特蒙德足球俱乐部, 主要荣誉, 欧洲冠军联赛冠军1次
多特蒙德足球俱乐部, 主要荣誉, 丰田杯冠军1次
多特蒙德足球俱乐部, 主要荣誉, 德国超级杯冠军6次
多特蒙德足球俱乐部, 主要荣誉, 欧洲优胜者杯冠军1次
多特蒙德足球俱乐部, 主要荣誉, 德国杯冠军4次
多特蒙德足球俱乐部, 现任队长, 马尔科·罗伊斯
多特蒙德足球俱乐部, 主席, 劳巴尔
多特蒙德足球俱乐部, 体育经理, 佐尔克
多特蒙德足球俱乐部, 绰号, Schwarz-Gelb(蜜蜂兵团)
多特蒙德足球俱乐部, 绰号, 大黄蜂
多特蒙德足球俱乐部, 队歌, Das Vereinslied
多特蒙德足球俱乐部, 球衣赞助, 彪马
多特蒙德足球俱乐部, tag, 足球俱乐部
多特蒙德足球俱乐部, tag, 足球
多特蒙德足球俱乐部, tag, 社会团体
多特蒙德足球俱乐部, tag, 俱乐部
拉蒙·桑切斯·皮斯胡安球场, 中文名, 拉蒙·桑切斯·皮斯胡安球场
