n1,rela,n2
德国, 中文名称, 德意志联邦共和国
德国, 英文名称, The Federal Republic of Germany
德国, 简称, 德国
德国, 简称, 德意志
德国, 所属洲, 欧洲
德国, 首都, 柏林
德国, 主要城市, 汉堡
德国, 主要城市, 慕尼黑
德国, 主要城市, 科隆
德国, 主要城市, 法兰克福
德国, 主要城市, 斯图加特
德国, 主要城市, 多特蒙德
德国, 主要城市, 波恩
德国, 国庆日, 1990年10月3日
德国, 国歌, 德意志之歌
德国, 国家代码, DEU
德国, 官方语言, 德语
德国, 货币, 欧元
德国, 时区, UTC+1（夏时制：UTC+2）
德国, 政治体制, 议会制共和制
德国, 国家领袖, 总统：弗兰克·瓦尔特·施泰因迈尔
德国, 国家领袖, 总理：安格拉·默克尔
德国, 人口数量," 82,695,000（2017年）"
德国, 人口密度, 237人/平方公里（2017年）
德国, 主要民族, 德意志人
德国, 主要民族, 索布人
德国, 主要宗教, 基督新教
德国, 主要宗教, 天主教
德国, 国土面积, 357376平方公里
德国, 水域率, 2.416%
德国, GDP总计, 3.677万亿美元（2017年
德国, GDP总计, 国际汇率）
德国, 人均GDP, 44470美元（2017年
德国, 人均GDP, 国际汇率）
德国, 国际电话区号, +49
德国, 国际域名缩写, .de
德国, 道路通行, 靠右驾驶
德国, 国家结构, 复合制
德国, 行政区划, 16个州
德国, 最大城市, 柏林
德国, 最大行政区, 巴伐利亚州（亦称拜仁州）
德国, 地理最高点, 阿尔卑斯山脉楚格峰
德国, 中央银行, 德意志联邦银行
德国, 人类发展指数, 0.931（世界第6
德国, 人类发展指数, 极高
德国, 人类发展指数, 2014年）
德国, 汽车品牌, 保时捷
德国, 汽车品牌, 奔驰
德国, 汽车品牌, 宝马
德国, 汽车品牌, 奥迪
德国, 汽车品牌, 大众
德国, 著名赛道, 纽博格林赛道
德国, 著名汽车赛事, 德国房车大师赛（DTM）
德国, 主要高等学府, 柏林大学
德国, 主要高等学府, 波恩大学
德国, 主要高等学府, 哥廷根大学
德国, 国鸟, 白鹳
德国, 官网, https://www.bundesregierung.de
德国, 著名企业, 戴姆勒-克莱斯勒
德国, 著名企业, 西门子
德国, 国家象征, 勃兰登堡门
德国, 国家象征, 莱茵河
德国, 国家象征, 新天鹅堡
德国, tag, 二战
德国, tag, 国家
德国, tag, 二战参战国家
德国, 主要城市, 不莱梅
德国, 主要城市, 德累斯顿
英国, 中文名称, 大不列颠及北爱尔兰联合王国
英国, 英文名称, United Kingdom of Great Britain and Northern Ireland
英国, 简称, 英国
英国, 简称, 联合王国
英国, 所属洲, 欧洲
英国, 首都, 伦敦
英国, 主要城市, 伯明翰
英国, 主要城市, 利兹
英国, 主要城市, 利物浦
英国, 主要城市, 格拉斯哥
英国, 主要城市, 谢菲尔德
英国, 主要城市, 曼彻斯特
英国, 主要城市, 爱丁堡
英国, 国庆日, 6月11日
英国, 国歌, 天佑女王
英国, 国家代码, GBR
英国, 官方语言, 英语
英国, 货币, 英镑
英国, 时区, UTC+0（夏时制：UTC+1）
英国, 政治体制, 议会制君主立宪制
英国, 国家领袖, 首相：特蕾莎·梅
英国, 国家领袖, 女王：伊丽莎白二世
英国, 人口数量, 6602.2万（2017年）
英国, 人口密度, 272.9人/平方公里（2017年）
英国, 主要民族, 英格兰人
英国, 主要民族, 威尔士人
英国, 主要民族, 苏格兰人
英国, 主要民族, 爱尔兰人
英国, 主要宗教, 英国国教
英国, 主要宗教, 天主教
英国, 国土面积, 24.41万平方公里（包括内陆水域）
英国, 水域率, 1.34%
英国, GDP总计, 2.622万亿美元（2017年
英国, GDP总计, 国际汇率）
英国, 人均GDP, 39720美元（2017年
英国, 人均GDP, 国际汇率）
英国, 国际电话区号, +44
英国, 国际域名缩写, .uk
英国, 道路通行, 靠左驾驶
英国, 国家格言, 我权天授（天有上帝
英国, 国家格言, 我有权利）
英国, 法律体系, 英美法系
英国, 国家结构, 单一制
英国, 国花, 玫瑰
英国, 国树, 夏栎
英国, 国鸟, 红胸鸲
英国, 组成, 大不列颠岛
英国, 组成, 北爱尔兰
英国, 气候类型, 温带海洋性气候
英国, 著名公司, 汇丰
英国, 著名公司, 渣打
英国, 著名公司, 联合利华
英国, 著名赛道, 银石赛道
英国, 汽车赛事, BTCC英国房车锦标赛
英国, 最大城市, 伦敦
英国, 主要事件, 2012伦敦奥运会
英国, 主要事件, 英阿马岛战役
英国, 主要高等学府, 剑桥大学
英国, 主要高等学府, 牛津大学
英国, 主要高等学府, 帝国理工
英国, 人类发展指数, 0.892（极高）
英国, tag, 国家
西班牙, 中文名称, 西班牙王国
西班牙, 英文名称, The Kingdom of Spain
西班牙, 简称, 西班牙
西班牙, 所属洲, 欧洲
西班牙, 首都, 马德里
西班牙, 主要城市, 巴塞罗那
西班牙, 主要城市, 巴伦西亚
西班牙, 主要城市, 塞维利亚
西班牙, 主要城市, 萨拉戈萨
西班牙, 主要城市, 马拉加
西班牙, 主要城市, 穆尔西亚
西班牙, 国庆日, 10月12日
西班牙, 国歌, 皇家进行曲
西班牙, 国歌, （Marcha Real）
西班牙, 国家代码, ESP
西班牙, 官方语言, 西班牙语（卡斯蒂利亚语）
西班牙, 货币, 欧元
