id,name,league_id,location,established,stadium_id,coach
1,利物浦足球俱乐部[英格兰足球俱乐部],1,英格兰利物浦,1892年6月3日,1,尤尔根·克洛普（德国）
2,莱斯特城足球俱乐部,1,英格兰,1884年,2,克劳德·皮埃尔（法国）
3,纽卡斯尔联足球俱乐部[英格兰足球俱乐部],1,英格兰纽卡斯尔,1892年12月9日,3,拉斐尔·贝尼特斯（西班牙）
4,阿森纳足球俱乐部,1,伦敦,1886年,4,乌奈·埃梅里（西班牙）
5,狼队足球俱乐部,1,英格兰西密德兰伍尔弗汉普顿,1877年,5,努诺·埃斯皮里托·桑托（葡萄牙）
6,曼彻斯特联足球俱乐部,1,英国曼彻斯特,1878年1月1日,6,奥莱·索尔斯克亚（挪威）
7,南安普敦足球俱乐部,1,英格兰南安普敦,1885年11月,44,拉尔夫·哈森许特尔（奥地利）
8,切尔西足球俱乐部,1,英国伦敦,1905年3月10日,10,毛里奇奥·萨里（意大利）
9,托特纳姆热刺足球俱乐部,1,英格兰伦敦,1882年9月5日,13,毛里西奥·波切蒂诺（阿根廷）
10,曼彻斯特城足球俱乐部,1,英国曼彻斯特,1880年,18,何塞普·瓜迪奥拉（西班牙）
11,巴塞罗那足球俱乐部[西班牙足球俱乐部],2,西班牙巴塞罗那,1899年11月29日,21,埃内斯托·巴尔韦德
12,皇家马德里足球俱乐部,2,西班牙马德里,1902年3月6日,23,圣地亚哥·索拉里
13,塞维利亚足球俱乐部,2,西班牙安达卢西亚塞维利亚,1905年10月14日,16,巴勃罗·马钦
14,马德里竞技足球俱乐部,2,西班牙马德里,1903年4月26日,9,迭戈·西蒙尼（阿根廷）
15,皇家社会足球俱乐部[西班牙足球俱乐部],2,巴斯克地区的圣塞巴斯提安,1909年9月17日,25,阿西尔·加里塔诺
16,赫塔菲足球俱乐部,2,西班牙马德里自治区赫塔菲,1983年3月30日,19,佩佩·博达拉斯
17,毕尔巴鄂竞技足球俱乐部,2,西班牙毕尔巴鄂,1898年,27,爱德华多·贝里索（阿根廷）
18,瓦伦西亚足球俱乐部,2,西班牙瓦伦西亚,1919年3月18日,7,马塞利诺·加西亚·托拉尔
19,莱万特足球俱乐部,2,瓦伦西亚大区,1909年,11,帕科·洛佩斯
20,比利亚雷亚尔足球俱乐部,2,卡斯特利翁省,1923年3月10日,14,路易斯·加西亚
21,国际米兰足球俱乐部,3,意大利米兰,1908年3月9日,8,卢西亚诺·斯帕莱蒂
22,尤文图斯足球俱乐部,3,意大利都灵,1897年11月1日,12,马西米利亚诺·阿莱格里
23,拉齐奥足球俱乐部,3,意大利罗马,1900年1月9日,15,西蒙尼·因扎吉
24,罗马足球俱乐部,3,意大利,1927年7月22日,15,尤西比奥·迪弗朗西斯科,达尼埃莱·德罗西
25,亚特兰大足球俱乐部,3,意大利伦巴第省贝尔加莫,1907年,17,吉安·皮埃罗·加斯佩里尼
26,卡利亚里足球俱乐部,3,卡利亚里市,1920年,20,罗兰多·马兰,
27,帕尔玛足球俱乐部,3,意大利,1913年12月16日,22,罗伯特·达韦尔萨(Roberto D’Aversa)
28,那不勒斯足球俱乐部,3,那不勒斯,1926年1月1日,24,卡尔洛·安切洛蒂
29,都灵足球俱乐部,3,都灵,1906年12月3日,26,瓦尔特·马扎里
30,AC米兰足球俱乐部,3,意大利米兰,1899年12月16日,8,格纳罗·伊万·加图索
31,莱比锡红牛足球俱乐部,4,德国莱比锡,60,2009年7月2日,哈森许特尔
32,门兴格拉德巴赫足球俱乐部[足球俱乐部],4,德国门兴格拉德巴赫,1900年8月1日,29,迪特·黑金
33,拜仁慕尼黑足球俱乐部,4,德国巴伐利亚州慕尼黑,1900年2月27日,34,尼科·科瓦奇
34,多特蒙德足球俱乐部,4,德国北威州多特蒙德市,1909年12月19日,37,法夫尔
35,沙尔克04足球俱乐部,4,德国北威州盖尔森基兴市,1904年5月4日,32,多梅尼克·特德斯科
36,勒沃库森足球俱乐部,4,德国勒沃库森,1904年7月1日,35,彼得·博斯（荷兰）
37,霍芬海姆足球俱乐部,4,霍芬海姆,1899年7月1日,36,朱利安·纳格尔斯曼
38,沃尔夫斯堡足球俱乐部[德国足球俱乐部],4,德国沃尔夫斯堡,1945年9月12日,30,布鲁诺·拉巴迪亚
39,奥格斯堡足球俱乐部,4,德国巴伐利亚州奧格斯堡,1907年8月8日,31,曼纽埃尔·鲍姆
40,弗赖堡足球俱乐部,4,德国,1904年,38,施特赖希
41,巴黎圣日耳曼足球俱乐部,5,法国巴黎,1970年8月12日,31,托马斯·图赫尔（德国）
42,马赛足球俱乐部,5,马赛,1899年,39,鲁迪·加西亚
43,雷恩足球俱乐部[足球俱乐部],5,法国伊勒-维莱讷,1901年,40,克里斯蒂安·古尔库夫
44,里尔足球俱乐部,5,法国诺尔省,1944年,42,克里斯多夫·加尔蒂
45,兰斯足球俱乐部,5,法国兰斯,1931年,46,David Guion
46,摩纳哥足球俱乐部,5,摩纳哥公国,1919年,52,莱昂纳多·雅尔迪姆（葡萄牙）
47,蒙彼利埃足球俱乐部,5,蒙彼利埃,1974年,56,Michel Der Zakarian
48,里昂足球俱乐部,5,法国,1950年8月3日,58,布鲁诺·热内西奥
49,亚眠足球俱乐部,5,法国亚眠,1901年,49,克里斯托夫·佩利西耶
50,波尔多足球俱乐部,5,法国,1881年,54,古斯塔沃·波耶特
